length_url,length_hostname,ip,https_token,nb_subdomains,prefix_suffix,shortening_service,ratio_digits_url,phish_hints,nb_hyperlinks,domain_age,web_traffic,google_index,nb_specialchars,brand_flags,tld_subdomain_abnormal,nb_redirection_total,suspicious_html_score,status
75,44,0,1,3,0,1,0.0,1,21,5616,0,1,15,0,0,0,2,1
35,27,0,0,2,0,0,0.114285714,0,24,6381,0,1,5,1,0,1,1,1
210,14,0,0,3,0,0,0.066666667,0,0,8348,1,0,37,1,0,0,2,1
44,13,0,0,1,0,0,0.0,0,109,4825,128305,0,7,0,0,0,2,0
150,40,1,1,3,0,0,0.4866666670000001,0,8,4405,0,1,12,1,0,0,1,1
39,22,0,1,3,0,0,0.0,0,0,570,0,1,9,0,0,1,2,1
64,15,0,1,2,1,0,0.0,2,33,3381,6240092,1,13,0,0,0,1,1
106,20,1,0,3,0,0,0.160377358,0,0,4681,4701900,0,18,0,0,0,1,1
34,20,0,0,2,0,0,0.0,0,52,-1,5496959,0,7,0,0,0,0,1
65,16,0,0,2,0,0,0.0,0,822,7133,12,0,12,1,0,0,0,0
60,14,0,1,3,1,0,0.033333333,3,33,2290,10725245,1,13,0,0,0,1,1
25,14,0,1,1,0,0,0.0,0,7,896,0,1,6,0,0,2,1,1
39,21,0,1,2,0,0,0.128205128,0,182,6901,11507,0,7,0,0,1,2,0
38,15,0,1,3,1,0,0.0,0,335,3899,207904,0,9,0,1,0,1,0
129,8,0,0,2,0,0,0.023255814,0,11,-2,9675493,1,23,0,0,0,1,1
52,15,0,0,2,1,0,0.0,0,280,9224,18386,0,10,1,0,0,0,0
30,14,1,1,3,0,0,0.3666666670000001,0,0,-1,0,1,8,0,1,0,2,1
33,24,0,0,2,0,0,0.0,0,105,7449,0,0,6,1,0,0,1,0
118,27,1,1,3,0,0,0.0762711859999999,0,8,7287,0,0,15,0,0,1,1,0
27,20,0,1,1,0,0,0.0,0,58,2625,8571696,0,5,0,0,1,2,0
78,16,0,1,3,0,0,0.166666667,0,0,11192,1465,0,16,0,0,0,3,0
35,27,0,1,2,1,0,0.028571429,0,7,2839,0,1,7,0,0,1,1,1
32,18,0,1,1,1,0,0.0,0,140,-1,5497323,1,7,0,0,2,2,1
64,39,0,1,3,0,1,0.0625,2,22,5615,0,1,13,0,0,0,2,1
38,29,0,0,2,1,0,0.078947368,0,3,189,0,1,7,0,0,0,1,1
24,15,0,0,3,0,0,0.0,0,67,4996,179875,0,7,0,0,0,1,0
68,15,0,1,3,0,0,0.0,0,49,3526,24047,0,9,0,0,1,1,0
126,50,1,0,3,1,0,0.166666667,0,51,3993,5707171,1,19,0,1,0,2,1
41,16,0,0,2,0,0,0.0,0,339,7130,12,0,8,1,0,0,1,0
48,16,0,0,2,0,0,0.0,0,215,7134,13,0,9,1,0,0,0,0
29,21,0,1,2,0,0,0.0,0,9,3904,0,0,6,0,0,0,1,0
24,15,0,0,2,0,0,0.0,0,72,2980,1168093,0,6,0,0,0,1,0
50,17,0,0,3,0,0,0.02,2,1294,7427,193,0,10,0,0,0,2,0
126,50,1,1,3,1,0,0.119047619,0,51,3992,5697976,1,18,0,1,1,2,1
39,11,0,0,2,0,0,0.0,0,177,8627,5781,0,9,0,0,0,1,0
102,15,1,1,1,1,0,0.196078431,3,88,2047,0,1,12,0,0,1,1,1
31,23,0,1,2,0,0,0.064516129,0,46,2425,0,0,6,0,0,0,2,0
86,22,1,1,3,1,0,0.279069767,0,0,5826,0,1,13,0,0,0,2,1
78,16,0,0,2,0,0,0.102564103,0,259,6068,4211,0,15,0,0,0,2,0
29,20,0,0,3,0,0,0.0,0,138,3477,7290834,0,7,0,0,0,1,0
33,12,1,1,2,0,0,0.212121212,0,579,8965,70,0,7,1,0,2,1,0
27,12,0,1,1,1,0,0.0,0,8,7,0,0,7,0,0,0,1,1
24,15,0,0,2,0,0,0.0,0,24,-1,373207,0,6,0,0,0,2,0
39,20,0,0,2,0,0,0.0,0,226,6096,83476,0,7,0,0,0,0,0
28,21,0,1,2,0,0,0.0,0,128,5903,0,0,6,0,0,0,2,0
102,24,1,1,3,0,1,0.107843137,0,224,5627,0,0,11,0,0,0,2,1
43,18,0,1,2,0,0,0.0,0,1041,4153,124314,1,8,0,0,1,2,0
27,19,0,1,2,0,0,0.0,0,33,4764,199026,0,6,0,0,1,0,0
101,17,0,1,2,0,0,0.079207921,0,48,9744,962,0,19,0,0,1,0,0
60,28,0,1,3,0,0,0.0,0,43,3163,1323034,0,10,0,0,0,1,0
38,13,0,1,3,0,0,0.0,0,452,-1,98458,0,9,0,0,1,2,0
19,10,0,0,1,0,0,0.0,0,0,2088,0,1,5,0,0,0,2,1
137,15,0,0,3,0,0,0.262773723,0,74,4162,376041,1,43,0,0,0,0,0
263,179,1,1,3,0,0,0.1292775669999999,1,0,-1,0,1,29,1,1,0,2,1
22,6,0,0,1,0,1,0.181818182,0,44,-1,3536,1,5,0,0,1,2,1
89,21,0,1,3,0,0,0.011235955,4,25,918,0,1,15,0,1,0,1,1
28,19,0,0,2,0,0,0.0,0,58,5890,2487034,0,6,0,0,0,1,0
49,26,0,1,3,0,0,0.020408163,0,139,8046,1577,0,7,0,1,1,0,0
45,36,0,0,3,0,1,0.066666667,1,22,5616,0,1,10,0,0,0,1,1
30,22,0,1,2,0,0,0.0,0,197,5442,0,0,6,1,0,1,1,1
54,10,0,1,2,1,0,0.0,2,0,3188,9820235,1,9,0,0,0,1,1
29,22,0,1,2,0,0,0.0,0,26,-1,0,0,5,0,0,1,2,0
86,16,0,1,3,1,0,0.0,1,6,3977,0,1,14,0,1,0,1,1
26,18,0,1,2,0,0,0.076923077,0,0,1,0,1,6,0,0,0,2,1
83,20,1,0,2,0,0,0.108433735,0,171,4549,146,0,12,0,0,0,2,0
49,28,0,0,2,1,0,0.0,0,4,1,9657236,1,7,0,0,1,1,1
33,12,1,1,2,0,0,0.212121212,0,555,8969,70,0,7,1,0,2,0,0
40,18,0,1,2,0,0,0.0,0,115,9205,692,0,7,0,0,1,0,0
56,18,0,1,2,1,0,0.0,0,176,8697,25617,1,11,0,0,0,1,0
27,18,0,0,2,0,0,0.0,0,162,3873,2192611,0,6,0,0,0,1,0
70,33,0,1,3,0,1,0.0,0,114,4821,151781,0,11,0,0,1,1,0
128,120,0,1,3,0,0,0.0546875,2,0,65,0,1,14,0,0,0,2,1
25,6,0,1,1,0,0,0.12,0,0,-1,0,1,5,0,0,2,2,1
33,16,0,0,2,0,0,0.0,0,147,8517,8,0,7,1,0,0,0,0
52,16,0,0,2,0,0,0.0,0,177,3118,258,0,8,0,0,0,1,0
31,22,0,0,2,0,0,0.0,0,357,7318,19471,0,6,0,0,0,2,0
41,32,0,0,2,0,1,0.097560976,0,15,7295,0,1,6,1,0,0,1,1
33,24,0,0,2,0,0,0.0,0,27,6022,4222108,0,6,0,0,0,2,0
32,23,0,0,1,1,0,0.0,0,0,1,0,1,6,0,0,0,2,1
66,30,0,1,3,1,0,0.03030303,0,17,3346,0,0,11,0,0,0,1,0
85,14,0,0,2,0,0,0.094117647,1,35,5409,9424,0,17,0,1,0,1,0
52,20,0,0,2,0,0,0.0,0,898,7129,12,0,8,1,0,0,1,0
109,19,0,0,3,0,0,0.055045872,0,30,4300,17917,0,16,0,0,0,2,0
84,20,0,1,1,0,0,0.0,0,120,2785,456652,0,12,0,0,1,1,0
110,16,0,0,2,0,0,0.127272727,2,1,8346,1,0,11,1,0,1,0,1
171,25,1,1,2,1,0,0.304093567,3,13,1095,3898136,1,17,0,0,0,2,1
17,9,0,1,1,0,0,0.0,0,10,-1,1860135,0,5,0,0,0,0,0
19,12,0,1,1,0,0,0.0,0,40,7557,3080310,0,4,0,0,0,0,0
98,14,1,1,3,0,0,0.285714286,1,1,-1,0,1,16,0,1,2,2,1
32,24,0,1,2,0,0,0.0,0,13,2581,3704884,1,6,0,0,4,1,1
28,20,0,0,3,0,0,0.0,0,131,-1,5759582,0,6,0,0,0,0,0
64,31,0,1,3,0,0,0.03125,0,1,7083,17964,1,11,0,1,0,2,1
40,16,0,0,2,0,0,0.0,0,589,7133,12,0,7,1,0,0,1,0
132,32,0,0,2,1,1,0.113636364,0,26,8019,0,1,15,0,1,1,1,1
124,24,0,0,2,1,1,0.048387097,0,7,8019,0,1,20,0,1,1,1,1
51,18,0,1,2,0,0,0.0,1,22,3747,0,1,9,0,0,0,1,1
141,48,1,0,2,0,0,0.290780142,1,50,-1,0,1,9,0,1,0,2,1
126,50,1,1,3,1,0,0.126984127,0,51,3993,5707171,1,18,0,1,1,2,1
21,14,0,1,2,0,0,0.0,0,14,4924,0,0,5,0,0,0,1,0
53,14,0,1,2,0,0,0.037735849,0,5,11205,173087,1,11,0,0,0,1,0
27,18,0,0,2,0,0,0.0,0,90,-1,0,0,6,0,0,0,0,0
76,14,1,1,2,0,0,0.276315789,0,51,1379,0,1,9,0,0,0,1,1
79,32,0,1,2,0,0,0.0,0,58,4133,3807718,1,13,0,0,2,2,0
77,23,1,1,1,0,0,0.207792208,0,30,5767,0,1,7,0,0,1,1,1
35,18,0,0,2,0,0,0.0,0,129,7169,3198502,0,8,0,0,0,1,0
56,21,0,0,3,0,0,0.0,0,192,6842,74297,0,9,0,0,0,0,0
49,22,0,1,3,0,0,0.081632653,0,0,7705,549152,1,9,0,0,0,2,0
41,20,0,1,2,0,0,0.0,0,241,6769,114612,0,7,0,0,1,1,0
84,20,1,1,2,0,0,0.273809524,0,30,-1,0,1,12,0,0,1,2,1
29,20,0,0,2,0,0,0.0,0,29,8309,891412,0,6,0,0,0,2,0
21,12,0,0,2,0,0,0.0,0,264,-1,405272,0,6,0,0,0,1,0
35,13,0,1,3,0,0,0.0,0,31,5572,126063,0,8,0,0,0,2,0
28,19,0,0,2,0,0,0.0,0,18,-1,642658,0,8,0,0,0,0,0
97,25,0,0,3,0,0,0.0,0,58,-1,2656129,0,16,0,0,0,2,1
36,14,0,1,1,0,1,0.0,0,0,2744,0,0,6,0,0,0,2,1
63,19,0,0,3,1,0,0.0,0,104,8176,1489770,1,10,0,0,1,1,0
24,17,0,1,2,0,0,0.0,0,68,3086,2742704,0,5,0,0,0,2,0
40,33,0,1,2,0,1,0.025,0,14,7295,0,1,5,1,0,1,1,1
85,17,0,1,2,1,0,0.0,5,58,4505,0,1,14,0,0,0,2,1
56,39,0,1,3,0,1,0.107142857,0,83,5627,0,1,11,0,0,0,2,1
49,11,0,1,2,0,0,0.0,1,7,393,0,1,9,0,0,0,2,1
23,10,0,0,1,0,0,0.0,0,13,-2,0,1,5,0,0,0,1,1
64,16,0,0,2,1,0,0.0,3,22,2232,0,1,11,0,0,0,2,1
46,20,0,0,3,1,0,0.043478261,0,36,205,6985854,1,11,0,0,0,2,1
36,9,0,1,2,0,0,0.0,0,9,1880,0,1,8,0,0,0,1,1
29,22,0,1,2,0,0,0.068965517,0,37,5904,3369493,0,5,0,0,0,2,0
55,28,0,1,2,1,0,0.054545455,0,103,6831,0,1,8,0,0,1,2,1
45,25,0,1,2,0,0,0.0,0,288,6260,683,0,6,0,1,1,2,0
33,25,0,1,2,0,0,0.0,0,129,-1,1120148,0,6,0,0,1,2,0
231,23,1,0,3,1,0,0.398268398,5,15,-1,0,1,20,0,0,0,1,1
30,17,0,0,2,0,0,0.0,0,4,-1,0,1,6,0,0,1,1,1
31,23,0,1,2,0,0,0.0,0,72,6749,581257,0,6,0,0,0,2,0
27,18,0,0,2,1,0,0.0,0,7,-1,0,0,7,0,0,0,1,0
81,27,1,1,2,0,0,0.259259259,0,30,5767,0,1,8,0,0,1,1,1
58,16,1,0,2,0,0,0.120689655,0,101,7913,0,0,10,0,0,0,1,0
28,19,0,0,2,0,1,0.0,0,81,7296,1726750,0,6,1,0,0,2,0
25,16,0,0,2,0,0,0.0,0,316,2568,286071,0,6,0,0,0,0,0
